Food;Measure;Calories;Gm Wt;Calories 100gm;Measure 2;Calories in Measure 2;Gm Wt 2
Amaranth grain, cooked;1 cup;251;246;102;;;
Amaranth grain, uncooked;1 cup;716;193;371;;;
Arrowroot flour;1 cup;457;128;357;;;
Barley flour or meal;1 cup;511;148;345;;;
Barley malt flour;1 cup;585;162;361;;;
Barley, hulled;1 cup;651;184;354;;;
Barley, pearled, cooked;1 cup;193;157;123;;;
Barley, pearled, raw;1 cup;704;200;352;;;
Buckwheat;1 cup;583;170;343;;;
Buckwheat flour, whole-groat;1 cup;402;120;335;;;
Buckwheat groats, roasted, cooked;1 cup;155;168;92;;;
Buckwheat groats, roasted, dry;1 cup;567;164;346;;;
Bulgur, cooked;1 cup;151;182;83;1 tbsp;7;8
Bulgur, dry;1 cup;479;140;342;;;
Corn bran, crude;1 cup;170;76;224;;;
Corn flour, masa, enriched, white;1 cup;414;114;363;;;
Corn flour, masa, unenriched, white;1 cup;414;114;363;;;
Corn flour, whole-grain, blue (harina de maiz morado);1 tbsp;25;7;364;;;
Corn flour, whole-grain, white;1 cup;422;117;361;;;
Corn flour, whole-grain, yellow;1 cup;422;117;361;;;
Corn flour, yellow, degermed, unenriched;1 cup;473;126;375;;;
Corn flour, yellow, masa, enriched;1 cup;414;114;363;;;
Corn grain, white;1 cup;606;166;365;;;
Corn grain, yellow;1 cup;606;166;365;;;
Cornmeal, degermed, enriched, white;1 cup;581;157;370;;;
Cornmeal, degermed, enriched, yellow;1 cup;581;157;370;;;
Cornmeal, degermed, unenriched, white;1 cup;581;157;370;;;
Cornmeal, degermed, unenriched, yellow;1 cup;581;157;370;;;
Cornmeal, white, self-rising, bolted, plain, enriched;1 cup;407;122;334;;;
Cornmeal, white, self-rising, bolted, with wheat flour added, enriched;1 cup;592;170;348;;;
Cornmeal, white, self-rising, degermed, enriched;1 cup;490;138;355;;;
Cornmeal, whole-grain, white;1 cup;442;122;362;;;
Cornmeal, whole-grain, yellow;1 cup;442;122;362;;;
Cornmeal, yellow, self-rising, bolted, plain, enriched;1 cup;407;122;334;;;
Cornmeal, yellow, self-rising, bolted, with wheat flour added, enriched;1 cup;592;170;348;;;
Cornmeal, yellow, self-rising, degermed, enriched;1 cup;490;138;355;;;
Cornstarch;1 cup;488;128;381;;;
Couscous, cooked;1 cup, cooked;176;157;112;1 cup, dry, yields;591;528
Couscous, dry;1 cup;650;173;376;;;
Hominy, canned, white;1 cup;119;165;72;;;
Hominy, canned, yellow;1 cup;115;160;72;;;
Macaroni, vegetable, enriched, cooked;1 cup, spiral shaped;172;134;128;;;
Macaroni, vegetable, enriched, dry;1 cup, spiral shaped;308;84;367;2 oz;209;57
Millet flour;1 cup;455;119;382;;;
Millet, cooked;1 cup;207;174;119;;;
Millet, raw;1 cup;756;200;378;;;
Noodles, chinese, chow mein;.5 cup, dry;133;28;475;1.5 oz;204;43
Noodles, egg, cooked, enriched, with added salt;1 cup;221;160;138;;;
Noodles, egg, cooked, unenriched, with added salt;1 cup;221;160;138;;;
Noodles, egg, dry, enriched;1 cup;146;38;384;2 oz;219;57
Noodles, egg, dry, unenriched;1 cup;146;38;384;;;
Noodles, egg, enriched, cooked;1 cup;221;160;138;;;
Noodles, egg, spinach, enriched, cooked;1 cup;211;160;132;;;
Noodles, egg, spinach, enriched, dry;1 cup;145;38;382;2 oz;218;57
Noodles, egg, unenriched, cooked, without added salt;1 cup;221;160;138;;;
Noodles, flat, crunchy, Chinese restaurant;1 cup;234;45;521;;;
Noodles, japanese, soba, cooked;1 cup;113;114;99;;;
Noodles, japanese, soba, dry;2 oz;192;57;336;;;
Noodles, japanese, somen, cooked;1 cup;231;176;131;;;
Noodles, japanese, somen, dry;2 oz;203;57;356;;;
Oat bran, cooked;1 cup;88;219;40;;;
Oat bran, raw;1 cup;231;94;246;;;
Oat flour, partially debranned;1 cup;420;104;404;;;
Oats;1 cup;607;156;389;;;
Pasta, cooked, enriched, with added salt;1 cup, spaghetti not packed;195;124;157;1 cup, packed;237;151
Pasta, cooked, enriched, without added salt;1 cup, spaghetti not packed;196;124;158;1 cup, spaghetti packed;239;151
Pasta, cooked, unenriched, with added salt;1 cup, spaghetti not packed;195;124;157;1 cup, spaghetti packed;237;151
Pasta, cooked, unenriched, without added salt;1 cup, spaghetti not packed;196;124;158;1 cup, spaghetti packed;239;151
Pasta, dry, enriched;1 cup, spaghetti;338;91;371;2 oz;211;57
Pasta, dry, unenriched;1 cup, spaghetti;338;91;371;2 oz;211;57
