weekday;item;type;factor;grocery_list;menu_list
Saturday;Lemon butter chicken;recipe;1;Y;Y
Saturday;cup rice;ingredient;1;Y;Y
Saturday;side salad;ingredient;1;N;Y
Saturday;pkg spinach;ingredient;1;Y;N
Saturday;Fuji apple chicken salad;recipe;1;Y;Y
Sunday_morning;Baked beans;recipe;1;Y;Y
Sunday_morning;Delicious breakfast potatoes;recipe;1;Y;Y
Sunday;Roasted potato & lentil salad;recipe;2;Y;Y
Monday;Pasta all'Amatriciana;recipe;1;Y;Y
Monday;pkg noodles;ingredient;0.7;Y;Y
Monday;side salad;ingredient;1;N;Y
Thursday;Chili garlic shrimp;recipe;1;Y;Y
Thursday;Di San Xian;recipe;1;Y;Y
Thursday;cup rice;ingredient;1;Y;Y
