Ingredient,Outside_menu,Retailer,Unit,Cost_euros_per_unit,Hyperlink
amaranth flour,N,Food Oase,0.5 kg,4.69,https://www.foodoase.de/shop/system/?func=detailcall&artnr=4803
bagels,Y,Food Oase,4 rolls,3.31,https://www.foodoase.de/shop/system/?func=detailcall&artnr=1010
bbq sauce,Y,,,,
bread mix,Y,Food Oase,0.4 kg,3.29,https://www.foodoase.de/shop/system/?func=det&artnr=153141
brown sugar,N,Amazon,0.5 kg,6.90,https://smile.amazon.de/gp/product/B004QXUY1C
cereal flakes,Y,Food Oase,0.3 kg,3.14,https://www.foodoase.de/shop/system/?func=detailcall&artnr=1080
cherry blossom tea,Y,Amazon,6 boxes,15.40,https://smile.amazon.de/gp/product/B0169S9D3Q
chili powder,N,Amazon,1 kg,8.49,https://smile.amazon.de/gp/product/B009M44PXS
chipotles in adobe,N,Amazon,0.2 kg,7.09,https://smile.amazon.de/gp/product/B00U01W58O
Choco balls,Y,Food Oase,0.3 kg,3.99,https://www.foodoase.de/shop/system/?func=detailcall&artnr=2622
ciabatta,Y,Food Oase,4 rolls,2.29,https://www.foodoase.de/shop/system/?func=detailcall&artnr=1046
corn flakes,Y,Food Oase,0.25 kg,1.99,https://www.foodoase.de/shop/system/?func=detailcall&artnr=1034
dark bread flour,Y,Food Oase,1 kg,4.69,https://www.foodoase.de/shop/system/?func=det&artnr=111881
garam masala,N,Amazon,0.4 kg,4.99,https://smile.amazon.de/-/en/dp/B005EFYQG0
garlic clove,N,Amazon,0.75 kg,14.00,https://smile.amazon.de/gp/product/B076WXDKS1/
garlic powder,N,Amazon,1 kg,9.95,https://smile.amazon.de/-/en/dp/B07JJZ3F5P
ginger paste,N,Amazon,0.75 kg,7.70,https://smile.amazon.de/gp/product/B076WTNL35
hirse flakes,Y,Food Oase,0.5 kg,3.79,https://www.foodoase.de/shop/system/?func=detailcall&artnr=2619
hoisin sauce,N,Amazon,0.4 kg,4.48,https://smile.amazon.de/gp/product/B08NL27KKZ
house rub,N,,,,
Italian seasoning,N,Amazon,0.5 kg,8.36,https://smile.amazon.de/gp/product/B08W59JCDV
laugen brötchen,Y,Food Oase,2 rolls,1.69,https://www.foodoase.de/shop/system/?func=detailcall&artnr=1061
molasses,N,Amazon,0.68 kg,11.13,https://smile.amazon.de/gp/product/B004GL00XG
onion powder,N,Amazon,0.5 kg,7.95,https://smile.amazon.de/gp/product/B07JH94RFH
panini rolls,Y,Food Oase,3 rolls,2.99,https://www.foodoase.de/shop/system/?func=detailcall&artnr=1007
paprika powder,N,Amazon,0.5 kg,9.95,https://smile.amazon.de/gp/product/B07DPJLPC9
penne,Y,Food Oase,0.35 kg,2.79,https://www.foodoase.de/shop/system/?func=det&artnr=145361
potato flour,N,Food Oase,0.5 kg,1.09,https://www.foodoase.de/shop/system/?func=detailcall&artnr=5314
ramen,N,Food Oase,0.28 kg,3.99,https://www.foodoase.de/shop/system/?func=det&artnr=115600
rice flakes,Y,Food Oase,0.48 kg,3.49,https://www.foodoase.de/shop/system/?func=detailcall&artnr=4481
rice flour,N,Food Oase,1 kg,2.79,https://www.foodoase.de/shop/system/?func=detailcall&artnr=5284
Schoko Müsli,Y,Food Oase,0.3 kg,3.99,https://www.foodoase.de/shop/system/?func=det&artnr=106450
shells,N,Food Oase,0.25 kg,1.99,https://www.foodoase.de/shop/system/?func=detailcall&artnr=3425
sorghum flour,N,Food Oase,0.4 kg,3.29,https://www.foodoase.de/shop/system/?func=detailcall&artnr=1107
spaghetti,Y,Food Oase,0.35 kg,2.79,https://www.foodoase.de/shop/system/?func=det&artnr=145351
steak pepper,N,,,,
tapioca flour,N,Food Oase,0.1 kg,2.49,https://www.foodoase.de/shop/system/?func=detailcall&artnr=5278
teff flour,N,Food Oase,0.8 kg,6.49,https://www.foodoase.de/shop/system/?func=detailcall&artnr=1598
vanilla extract,N,,,,
